ID;Rot;Condicao;T_evap;T_cond;T_sup;T_sub;T_box;T_suc;T_corpo;m;W;delta_h_evap;CAP;COP;rho;m_ideal;eta_v;delta_h_comp;W_ise;eta_g
1;3000;A;5;45;10;35;35;10;68,42;84,30;963,82;171700;4020,49;4,17;34,71;93,73;0,90;30,06;703,88;0,73
2;3000;B;5;60;10;35;35;10;85,23;79,40;1312,87;172540;3805,38;2,90;34,71;93,73;0,85;39,97;881,54;0,67
3;3000;C;15;45;20;35;35;20;62,96;117,76;944,62;174420;5705,38;6,04;47,09;127,13;0,93;21,2;693,46;0,73
4;3000;D;15;60;20;35;35;20;86,35;111,46;1357,54;175260;5426,39;4,00;47,09;127,13;0,88;30,73;951,46;0,70
5;3000;E;10;45;15;35;35;15;68,22;100,14;948,79;173250;4819,27;5,08;40,33;108,88;0,92;25,56;711,00;0,75
6;3000;F;10;60;15;35;35;15;89,68;94,43;1330,93;174090;4566,69;3,43;40,33;108,88;0,87;35,31;926,24;0,70
7;3000;G;5;50;10;35;35;10;78,72;82,89;1067,31;172050;3961,33;3,71;34,57;93,35;0,89;33,49;771,08;0,72
8;3000;H;10;50;15;35;35;15;75,39;98,45;1071,97;173520;4745,37;4,43;40,33;108,88;0,90;28,88;789,80;0,74
9;3000;I;15;50;20;35;35;20;72,56;116,61;1062,17;174800;5662,18;5,33;46,89;126,59;0,92;24,5;793,61;0,75
10;3000;Check-Point;7,2;54,4;18,3;46,1;35;18,3;88,65;85,14;1184,25;158880;3757,66;3,17;35,66;96,29;0,88;35,83;847,41;0,72
11;3000;Rating Point;-1,1;43,3;10;35;35;10;78,77;66,16;914,63;175970;3233,97;3,54;27,54;74,36;0,89;36,18;664,92;0,73
12;4000;A;5;45;10;35;35;10;69,23;116,65;1356,84;171700;5563,63;4,10;34,71;124,97;0,93;30,06;974,04;0,72
13;4000;B;5;60;10;35;35;10;88,06;109,77;1790,16;172540;5261,17;2,94;34,71;124,97;0,88;39,97;1218,78;0,68
14;4000;C;15;45;20;35;35;20;63,86;162,56;1326,42;174420;7876,02;5,94;47,09;169,51;0,96;21,2;957,30;0,72
15;4000;D;15;60;20;35;35;20;87,40;156,14;1904,07;175260;7601,41;3,99;47,09;169,51;0,92;30,73;1332,83;0,70
16;4000;E;10;45;15;35;35;15;69,94;138,45;1347,20;173250;6662,91;4,95;40,33;145,18;0,95;25,56;983,00;0,73
17;4000;F;10;60;15;35;35;15;90,61;132,55;1857,28;174090;6410,09;3,45;40,33;145,18;0,91;35,31;1300,13;0,70
18;4000;G;5;50;10;35;35;10;79,61;116,42;1497,62;172050;5564,13;3,72;34,57;124,47;0,94;33,49;1083,07;0,72
19;4000;H;10;50;15;35;35;15;76,55;137,17;1508,22;173520;6611,46;4,38;40,33;145,18;0,94;28,88;1100,39;0,73
20;4000;I;15;50;20;35;35;20;73,83;161,91;1507,11;174800;7861,63;5,22;46,89;168,79;0,96;24,5;1101,89;0,73
21;4000;Check-Point;7,2;54,4;18,3;46,1;35;18,3;90,02;118,37;1646,60;158880;5224,24;3,17;35,66;128,38;0,92;35,83;1178,15;0,72
22;4000;Rating Point;-1,1;43,3;10;35;35;10;79,77;92,22;1276,36;175970;4507,96;3,53;27,54;99,15;0,93;36,18;926,85;0,73
23;4800;A;5;45;10;35;35;10;70,58;142,30;1739,96;171700;6786,76;3,90;34,71;149,96;0,95;30,06;1188,18;0,68
24;4800;B;5;60;10;35;35;10;94,92;136,55;2252,82;172540;6544,62;2,91;34,71;149,96;0,91;39,97;1516,10;0,67
25;4800;C;15;45;20;35;35;20;64,86;197,57;1691,91;174420;9572,17;5,66;47,09;203,42;0,97;21,2;1163,46;0,69
26;4800;D;15;60;20;35;35;20;88,30;190,56;2356,26;175260;9277,00;3,94;47,09;203,42;0,94;30,73;1626,62;0,69
27;4800;E;10;45;15;35;35;15;71,59;168,45;1699,26;173250;8106,74;4,77;40,33;174,21;0,97;25,56;1196,01;0,70
28;4800;F;10;60;15;35;35;15;91,75;162,98;2309,70;174090;7881,24;3,41;40,33;174,21;0,94;35,31;1598,52;0,69
29;4800;G;5;50;10;35;35;10;80,94;142,32;1869,41;172050;6801,48;3,64;34,57;149,36;0,95;33,49;1323,93;0,71
30;4800;H;10;50;15;35;35;15;77,91;167,51;1896,25;173520;8073,91;4,26;40,33;174,21;0,96;28,88;1343,79;0,71
31;4800;I;15;50;20;35;35;20;75,22;196,99;1902,83;174800;9565,05;5,03;46,89;202,54;0,97;24,5;1340,64;0,70
32;4800;Check-Point;7,2;54,4;18,3;46,1;35;18,3;91,51;146,01;2059,95;158880;6443,79;3,13;35,66;154,06;0,95;35,83;1453,18;0,71
33;4800;Rating Point;-1,1;43,3;10;35;35;10;81,63;113,58;1603,64;175970;5551,88;3,46;27,54;118,98;0,95;36,18;1141,48;0,71
