UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
0.7,0.25,3.981
0.7276,0.25,4.045
0.7552,0.25,4.105
0.7828,0.25,4.16
0.8103,0.25,4.211
0.8379,0.25,4.26
0.8655,0.25,4.305
0.8931,0.25,4.349
0.9207,0.25,4.39
0.9483,0.25,4.429
0.9759,0.25,4.467
1.003,0.25,4.503
1.031,0.25,4.538
1.059,0.25,4.572
1.086,0.25,4.604
1.114,0.25,4.635
1.141,0.25,4.665
1.169,0.25,4.695
1.197,0.25,4.724
1.224,0.25,4.751
1.252,0.25,4.778
1.279,0.25,4.803
1.307,0.25,4.828
1.334,0.25,4.852
1.362,0.25,4.875
1.39,0.25,4.897
1.417,0.25,4.919
1.445,0.25,4.939
1.472,0.25,4.959
1.5,0.25,4.979
0.7,0.2638,4.027
0.7276,0.2638,4.091
0.7552,0.2638,4.151
0.7828,0.2638,4.207
0.8103,0.2638,4.26
0.8379,0.2638,4.309
0.8655,0.2638,4.356
0.8931,0.2638,4.401
0.9207,0.2638,4.444
0.9483,0.2638,4.485
0.9759,0.2638,4.524
1.003,0.2638,4.562
1.031,0.2638,4.598
1.059,0.2638,4.634
1.086,0.2638,4.669
1.114,0.2638,4.702
1.141,0.2638,4.734
1.169,0.2638,4.765
1.197,0.2638,4.795
1.224,0.2638,4.823
1.252,0.2638,4.851
1.279,0.2638,4.877
1.307,0.2638,4.903
1.334,0.2638,4.928
1.362,0.2638,4.951
1.39,0.2638,4.974
1.417,0.2638,4.997
1.445,0.2638,5.018
1.472,0.2638,5.039
1.5,0.2638,5.059
0.7,0.2776,4.068
0.7276,0.2776,4.133
0.7552,0.2776,4.193
0.7828,0.2776,4.25
0.8103,0.2776,4.304
0.8379,0.2776,4.355
0.8655,0.2776,4.403
0.8931,0.2776,4.45
0.9207,0.2776,4.494
0.9483,0.2776,4.537
0.9759,0.2776,4.578
1.003,0.2776,4.618
1.031,0.2776,4.657
1.059,0.2776,4.695
1.086,0.2776,4.731
1.114,0.2776,4.765
1.141,0.2776,4.798
1.169,0.2776,4.83
1.197,0.2776,4.861
1.224,0.2776,4.89
1.252,0.2776,4.919
1.279,0.2776,4.946
1.307,0.2776,4.972
1.334,0.2776,4.998
1.362,0.2776,5.022
1.39,0.2776,5.046
1.417,0.2776,5.069
1.445,0.2776,5.091
1.472,0.2776,5.113
1.5,0.2776,5.133
0.7,0.2914,4.104
0.7276,0.2914,4.17
0.7552,0.2914,4.232
0.7828,0.2914,4.29
0.8103,0.2914,4.345
0.8379,0.2914,4.397
0.8655,0.2914,4.447
0.8931,0.2914,4.495
0.9207,0.2914,4.542
0.9483,0.2914,4.586
0.9759,0.2914,4.63
1.003,0.2914,4.672
1.031,0.2914,4.713
1.059,0.2914,4.751
1.086,0.2914,4.788
1.114,0.2914,4.824
1.141,0.2914,4.858
1.169,0.2914,4.891
1.197,0.2914,4.922
1.224,0.2914,4.953
1.252,0.2914,4.982
1.279,0.2914,5.01
1.307,0.2914,5.037
1.334,0.2914,5.063
1.362,0.2914,5.088
1.39,0.2914,5.113
1.417,0.2914,5.136
1.445,0.2914,5.159
1.472,0.2914,5.181
1.5,0.2914,5.202
0.7,0.3052,4.138
0.7276,0.3052,4.204
0.7552,0.3052,4.267
0.7828,0.3052,4.326
0.8103,0.3052,4.383
0.8379,0.3052,4.437
0.8655,0.3052,4.489
0.8931,0.3052,4.539
0.9207,0.3052,4.588
0.9483,0.3052,4.635
0.9759,0.3052,4.68
1.003,0.3052,4.723
1.031,0.3052,4.764
1.059,0.3052,4.804
1.086,0.3052,4.842
1.114,0.3052,4.878
1.141,0.3052,4.913
1.169,0.3052,4.947
1.197,0.3052,4.979
1.224,0.3052,5.01
1.252,0.3052,5.04
1.279,0.3052,5.069
1.307,0.3052,5.097
1.334,0.3052,5.124
1.362,0.3052,5.15
1.39,0.3052,5.175
1.417,0.3052,5.199
1.445,0.3052,5.222
1.472,0.3052,5.245
1.5,0.3052,5.266
0.7,0.319,4.168
0.7276,0.319,4.236
0.7552,0.319,4.3
0.7828,0.319,4.361
0.8103,0.319,4.419
0.8379,0.319,4.474
0.8655,0.319,4.528
0.8931,0.319,4.581
0.9207,0.319,4.632
0.9483,0.319,4.68
0.9759,0.319,4.726
1.003,0.319,4.77
1.031,0.319,4.812
1.059,0.319,4.853
1.086,0.319,4.892
1.114,0.319,4.929
1.141,0.319,4.965
1.169,0.319,4.999
1.197,0.319,5.032
1.224,0.319,5.064
1.252,0.319,5.095
