Rot,Condicao,T_evap,T_cond,T_sup,T_sub,CAP,W,V_cil,P_evap,P_cond,RP,h_1,h_3,m,v_1,eta_v,s_1,h_2s,W_s,eta_g,Sigma
4800,C,15.0,45.0,20.0,35.0,9572.17,1691.91,1.5e-05,1254289.546686933,2726131.0316598183,2.1734463456708157,431305.92277635954,256662.5006677969,0.05480979406169506,0.021332441971012812,0.9743556260535604,1803.3626800505397,452557.5134190015,1164.7953066066505,0.6884499214536532,1.0
3000,C,15.0,45.0,20.0,35.0,5705.38,944.62,1.5e-05,1254289.546686933,2726131.0316598183,2.1734463456708157,431305.92277635954,256662.5006677969,0.03266873685316013,0.021332441971012812,0.929205244248435,1803.3626800505397,452557.5134190015,694.2626224155497,0.734964983184296,0.625
4000,C,15.0,45.0,20.0,35.0,7876.02,1326.42,1.5e-05,1254289.546686933,2726131.0316598183,2.1734463456708157,431305.92277635954,256662.5006677969,0.04509771914057017,0.021332441971012812,0.9620444765912468,1803.3626800505397,452557.5134190015,958.3982660922352,0.7225450958913732,0.8333333333333334
4800,I,15.0,50.0,20.0,35.0,9565.05,1902.83,1.5e-05,1254289.546686933,3062992.909558133,2.442014220439523,431305.92277635954,256386.38438715375,0.05468257055833995,0.021332441971012812,0.972093969384667,1803.3626800505397,455810.12653217034,1339.9528508530627,0.7041894708686866,1.0
4000,I,15.0,50.0,20.0,35.0,7861.63,1507.11,1.5e-05,1254289.546686933,3062992.909558133,2.442014220439523,431305.92277635954,256386.38438715375,0.04494426450238756,0.021332441971012812,0.9587709144270335,1803.3626800505397,455810.12653217034,1101.3234150215592,0.7307518462630858,0.8333333333333334
3000,I,15.0,50.0,20.0,35.0,5662.18,1062.17,1.5e-05,1254289.546686933,3062992.909558133,2.442014220439523,431305.92277635954,256386.38438715375,0.03237019747560351,0.021332441971012812,0.9207138123180497,1803.3626800505397,455810.12653217034,793.2059145580208,0.746778683786984,0.625
3000,E,10.0,45.0,15.0,35.0,4819.27,948.79,1.5e-05,1084818.4465495676,2726131.0316598183,2.512983661303602,430015.304859615,256662.5006677969,0.027800357902877586,0.024799483185304307,0.9192460111438059,1812.324407431592,455574.24623966945,710.5477179841819,0.7488988269102561,0.625
4000,E,10.0,45.0,15.0,35.0,6662.91,1347.2,1.5e-05,1084818.4465495676,2726131.0316598183,2.512983661303602,430015.304859615,256662.5006677969,0.03843554784742546,0.024799483185304307,0.9531817225601867,1812.324407431592,455574.24623966945,982.3719143426255,0.729195304589241,0.8333333333333334
4800,E,10.0,45.0,15.0,35.0,8106.74,1699.26,1.5e-05,1084818.4465495676,2726131.0316598183,2.512983661303602,430015.304859615,256662.5006677969,0.04676440071329762,0.024799483185304307,0.9664441409668809,1812.324407431592,455574.24623966945,1195.2485765045508,0.7033935810320674,1.0
4800,H,10.0,50.0,15.0,35.0,8073.91,1896.25,1.5e-05,1084818.4465495676,3062992.909558133,2.8235073982199093,430015.304859615,256386.38438715375,0.046500951443055126,0.024799483185304307,0.9609996361772479,1812.324407431592,458889.31096016325,1342.668755648072,0.7080652633608817,1.0
